@relation cpu-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
133,1000,12000,9,3,12,72
125,2000,8000,0,2,14,52
167,524,2000,8,4,15,19
56,2000,6000,0,1,8,21
23,16000,64000,64,16,32,636
60,4000,16000,64,5,8,93
810,512,512,8,1,1,18
98,1000,8000,32,2,8,46
38,4000,8000,32,16,32,51
38,4000,16000,128,16,32,212
57,4000,16000,1,6,12,132
300,768,12000,6,6,24,50
26,8000,24000,32,8,16,173
200,512,16000,0,4,32,35
56,4000,8000,0,1,8,34
100,1000,8000,0,2,6,16
59,8000,16000,64,12,24,188
26,8000,32000,128,24,32,405
38,8000,32000,64,8,24,326
105,256,2000,0,3,10,26
200,2000,8000,64,1,5,41
56,4000,16000,0,1,8,46
800,256,8000,0,1,4,16
143,512,5000,0,7,32,28
700,256,2000,0,1,1,24
350,64,64,0,1,4,10
180,768,12000,6,1,31,84
180,512,4000,0,1,3,14
900,2000,4000,0,3,6,37
140,2000,4000,0,4,8,40
30,8000,64000,96,12,176,915
23,16000,32000,64,16,32,489
50,2000,16000,8,3,5,40
160,1000,8000,16,1,14,60
300,768,3000,6,6,24,44
25,2000,12000,8,1,4,49
160,1000,4000,8,1,14,38
400,2000,4000,0,1,1,32
48,4000,24000,32,8,24,214
50,2000,16000,24,6,16,54
50,2000,4000,0,3,6,27
124,1000,8000,0,1,8,42
59,4000,12000,32,6,12,113
160,2000,8000,32,1,13,109
115,2000,4000,2,1,5,40
185,2000,16000,16,1,6,76
125,256,6000,256,16,128,198
1500,768,1000,0,0,0,12
300,768,3000,0,6,24,36
29,8000,32000,32,8,32,172
180,2000,8000,8,1,6,50
200,1000,8000,0,1,2,36
240,512,2000,8,1,5,11
180,512,4000,0,1,3,21
56,2000,8000,0,1,8,24
50,4000,16000,65,1,8,138
140,2000,32000,32,1,54,141
140,2000,4000,8,1,20,22
25,1310,2620,131,12,24,368
105,1000,4000,0,3,24,32
23,32000,64000,128,32,64,1144
900,1000,4000,8,1,2,22
320,512,8000,4,1,5,40
400,4000,8000,0,1,1,32
17,4000,16000,32,6,12,133
75,2000,16000,128,1,38,259
26,8000,32000,0,8,24,277
140,2000,8000,32,1,54,66
110,5000,5000,142,8,64,120
38,16000,32000,128,16,32,510
1100,768,2000,0,1,1,13
200,1000,2000,0,1,2,25
92,2000,8000,32,1,6,60
150,512,4000,0,8,128,30
300,1000,16000,8,2,112,38
26,16000,32000,64,16,24,465
320,512,5000,4,1,5,77
29,8000,32000,32,8,32,220
320,256,6000,0,1,6,33
50,8000,16000,48,1,10,136
50,2000,32000,24,6,26,114
250,1000,16000,1,1,8,50
330,1000,2000,0,1,2,16
57,4000,24000,64,12,16,237
50,2000,8000,8,1,6,56
105,2000,4000,8,3,19,32
50,2000,16000,12,3,16,45
180,262,4000,0,1,3,12
900,1000,4000,4,1,2,18
105,2000,4000,8,3,8,22
64,5240,20970,30,12,24,208
300,1000,4000,8,3,64,38
75,2000,8000,64,1,38,144
800,256,8000,0,1,4,22
26,8000,32000,64,8,32,318
50,1000,4000,8,1,5,29
300,384,12000,6,1,24,53
140,1000,16000,16,1,3,138
90,256,1000,0,3,10,17
143,3100,6200,0,5,20,33
180,2000,16000,16,1,6,66
50,4000,16000,64,5,10,111
52,4000,16000,32,4,12,130
17,4000,16000,8,6,12,100
143,1500,6300,0,5,32,30
115,512,6000,16,1,6,45
330,1000,4000,0,3,6,22
160,512,4000,2,1,5,30
29,8000,16000,32,8,16,132
900,512,1000,0,1,2,11
140,2000,4000,8,1,20,35
140,2000,32000,32,1,20,134
250,512,4000,0,4,7,50
175,256,2000,0,3,24,22
50,500,2000,8,1,4,20
35,8000,32000,64,8,24,370
125,512,1000,0,8,20,36
330,1000,3000,0,2,4,16
100,1000,8000,24,3,6,32
50,1000,8000,8,3,5,36
810,1000,5000,0,1,1,20
50,2000,32000,48,26,52,208
900,1000,1000,0,1,2,11
250,512,4000,0,1,7,25
60,4000,16000,32,1,6,86
50,2000,16000,24,1,6,70
800,256,8000,0,1,4,20
133,1000,8000,9,3,12,72
50,2000,8000,8,3,6,45
225,2000,4000,8,3,6,34
75,2000,16000,64,1,38,144
60,2000,8000,65,1,8,92
56,1000,4000,0,1,6,17
112,1000,1000,0,1,4,8
70,4000,12000,8,6,8,75
240,512,1000,8,1,3,6
72,4000,16000,64,8,16,143
300,768,4500,0,1,24,45
25,1310,2620,131,12,24,274
220,1000,8000,16,1,2,71
800,768,2000,0,0,0,20
50,1000,4000,8,3,5,26
60,2000,16000,64,5,8,74
140,2000,32000,32,1,54,189
30,16000,32000,256,16,24,510
84,1000,2000,0,1,6,12
